Nom;Pob
  05151-Navacepedilla de Corneja ;109
  05154-Navadijos ;38
  05155-Navaescurial ;60
  05156-Navahondilla ;335
  05157-Navalacruz ;259
  05158-Navalmoral ;353
  05159-Navalonguilla ;264
  05160-Navalosa ;333
  05161-Navalperal de Pinares ;867
  05162-Navalperal de Tormes ;98
  05163-Navaluenga ;2017
  05164-Navaquesera ;26
  05165-Navarredonda de Gredos ;473
  05166-Navarredondilla ;217
  05167-Navarrevisca ;307
  05168-Navas del Marqués, Las ;5420
  05169-Navatalgordo ;239
  05170-Navatejares ;54
  05171-Neila de San Miguel ;73
  05172-Niharra ;172
  05173-Ojos-Albos ;67
  05174-Orbita ;80
  05175-Oso, El ;176
  05176-Padiernos ;292
  05177-Pajares de Adaja ;191
  05178-Palacios de Goda ;418
  05179-Papatrigo ;253
  05180-Parral, El ;79
  05181-Pascualcobo ;39
  05182-Pedro Bernardo ;921
  05183-Pedro-Rodríguez ;158
  05184-Peguerinos ;312
  05185-Peñalba de Ávila ;114
  05186-Piedrahíta ;1884
  05187-Piedralaves ;2208
  05188-Poveda ;50
  05189-Poyales del Hoyo ;557
  05190-Pozanco ;53
  05191-Pradosegar ;139
  05192-Puerto Castilla ;116
  05193-Rasueros ;201
  05194-Riocabado ;150
  05195-Riofrío ;233
  05196-Rivilla de Barajas ;67
  05197-Salobral ;110
  05198-Salvadiós ;80
  05199-San Bartolomé de Béjar ;42
  05200-San Bartolomé de Corneja ;54
  05201-San Bartolomé de Pinares ;597
  05206-San Esteban de los Patos ;34
  05208-San Esteban de Zapardiel ;41
  05207-San Esteban del Valle ;800
  05209-San García de Ingelmos ;82
  05901-San Juan de Gredos ;291
  05210-San Juan de la Encinilla ;90
  05211-San Juan de la Nava ;518
  05212-San Juan del Molinillo ;227
  05213-San Juan del Olmo ;112
  05214-San Lorenzo de Tormes ;42
  05215-San Martín de la Vega del Alberche ;181
  05216-San Martín del Pimpollar ;185
  05217-San Miguel de Corneja ;62
  05218-San Miguel de Serrezuela ;137
  05219-San Pascual ;43
  05220-San Pedro del Arroyo ;455
