"CodMun";"Municipio";"Pob";"Poblog"
5087;"Gotarrendura ";164;5,0998664278242
5088;"Grandes y San Martin ";30;3,40119738166216
5089;"Guisando ";534;6,2803958389602
5090;"Gutierre-Munoz ";90;4,49980967033027
5092;"Hernansancho ";184;5,21493575760899
5093;"Herradon de Pinares ";549;6,30809844150953
5094;"Herreros de Suso ";145;4,97673374242057
5095;"Higuera de las Duenas ";302;5,71042701737487
5096;"Hija de Dios, La ";82;4,40671924726425
5097;"Horcajada, La ";525;6,26339826259162
5099;"Horcajo de las Torres ";556;6,32076829425058
5100;"Hornillo, El ";317;5,75890177387728
5102;"Hoyo de Pinares, El ";2308;7,74413662762799
5101;"Hoyocasero ";369;5,91079664404053
5103;"Hoyorredondo ";77;4,34380542185368
5106;"Hoyos de Miguel Munoz ";35;3,55534806148941
5104;"Hoyos del Collado ";33;3,49650756146648
5105;"Hoyos del Espino ";364;5,89715386763674
5107;"Hurtumpascual ";62;4,12713438504509
5108;"Junciana ";53;3,97029191355212
5109;"Langa ";520;6,25382881157547
5110;"Lanzahita ";905;6,80793494369993
5113;"Llanos de Tormes, Los ";82;4,40671924726425
5112;"Losar del Barco, El ";109;4,69134788222914
5114;"Madrigal de las Altas Torres ";1524;7,32909373624659
5115;"Maello ";647;6,4723462945009
5116;"Malpartida de Corneja ";123;4,81218435537242
5117;"Mamblas ";220;5,39362754635236
5118;"Mancera de Arriba ";88;4,47733681447821
5119;"Manjabalago y Ortigosa de Rioalmar ";34;3,52636052461616
5120;"Marlin ";37;3,61091791264422
5121;"Martiherrero ";307;5,7268477475872
5122;"Martinez ";139;4,93447393313069
5123;"Mediana de Voltoya ";106;4,66343909411207
5124;"Medinilla ";112;4,71849887129509
5125;"Mengamunoz ";63;4,14313472639153
5126;"Mesegar de Corneja ";75;4,31748811353631
5127;"Mijares ";767;6,64248680136726
5128;"Mingorria ";407;6,00881318544259
5129;"Miron, El ";134;4,89783979995091
5130;"Mironcillo ";101;4,61512051684126
5131;"Miruena de los Infanzones ";98;4,58496747867057
5132;"Mombeltran ";1171;7,06561336359772
5133;"Monsalupe ";72;4,27666611901606
5134;"Moraleja de Matacabras ";47;3,85014760171006
5135;"Munana ";435;6,07534603108868
5136;"Munico ";111;4,70953020131233
5138;"Munogalindo ";374;5,92425579741453
5139;"Munogrande ";63;4,14313472639153
5140;"Munomer del Peco ";131;4,87519732320115
5141;"Munopepe ";112;4,71849887129509
5142;"Munosancho ";104;4,64439089914137
5143;"Munotello ";64;4,15888308335967
5144;"Narrillos del alamo ";85;4,44265125649032
5145;"Narrillos del Rebollar ";56;4,02535169073515
5149;"Narros de Salduena ";110;4,70048036579242
5147;"Narros del Castillo ";180;5,19295685089021
5148;"Narros del Puerto ";27;3,29583686600433
5152;"Nava de Arevalo ";801;6,68586094706836
5153;"Nava del Barco ";108;4,68213122712422
5151;"Navacepedilla de Corneja ";109;4,69134788222914
5154;"Navadijos ";38;3,63758615972639
5155;"Navaescurial ";60;4,0943445622221
5156;"Navahondilla ";335;5,81413053182507
5157;"Navalacruz ";259;5,55682806169954
5158;"Navalmoral ";353;5,8664680569333
5159;"Navalonguilla ";264;5,57594910314632
5160;"Navalosa ";333;5,80814248998044
5161;"Navalperal de Pinares ";867;6,76503897678054
5162;"Navalperal de Tormes ";98;4,58496747867057
5163;"Navaluenga ";2017;7,60936653795421
5164;"Navaquesera ";26;3,25809653802148
5165;"Navarredonda de Gredos ";473;6,15909538849193
5166;"Navarredondilla ";217;5,37989735354046
5167;"Navarrevisca ";307;5,7268477475872
5168;"Navas del Marques, Las ";5420;8,59785109443369
5169;"Navatalgordo ";239;5,47646355193151
5170;"Navatejares ";54;3,98898404656427
5171;"Neila de San Miguel ";73;4,29045944114839
5172;"Niharra ";172;5,14749447681345
5173;"Ojos-Albos ";67;4,20469261939097
5174;"Orbita ";80;4,38202663467388
5175;"Oso, El ";176;5,17048399503815
5176;"Padiernos ";292;5,67675380226828
5177;"Pajares de Adaja ";191;5,25227342804663
5178;"Palacios de Goda ";418;6,03548143252476
5179;"Papatrigo ";253;5,53338948872752
5180;"Parral, El ";79;4,36944785246702
5181;"Pascualcobo ";39;3,66356164612965
5182;"Pedro Bernardo ";921;6,82546003625531
5183;"Pedro-Rodriguez ";158;5,06259503302697
5184;"Peguerinos ";312;5,74300318780948
5185;"Penalba de avila ";114;4,7361984483945
5186;"Piedrahita ";1884;7,54115245513631
5187;"Piedralaves ";2208;7,69984240739699
5188;"Poveda ";50;3,91202300542815
5189;"Poyales del Hoyo ";557;6,32256523992728
5190;"Pozanco ";53;3,97029191355212
5191;"Pradosegar ";139;4,93447393313069
5192;"Puerto Castilla ";116;4,75359019110636
5193;"Rasueros ";201;5,30330490805908
5194;"Riocabado ";150;5,01063529409626
5195;"Riofrio ";233;5,4510384535657
5196;"Rivilla de Barajas ";67;4,20469261939097
5197;"Salobral ";110;4,70048036579242
5198;"Salvadios ";80;4,38202663467388
5199;"San Bartolome de Bejar ";42;3,73766961828337
5200;"San Bartolome de Corneja ";54;3,98898404656427
5201;"San Bartolome de Pinares ";597;6,3919171133926
5206;"San Esteban de los Patos ";34;3,52636052461616
5208;"San Esteban de Zapardiel ";41;3,71357206670431
5207;"San Esteban del Valle ";800;6,68461172766793
5209;"San Garcia de Ingelmos ";82;4,40671924726425
5901;"San Juan de Gredos ";291;5,67332326717149
5210;"San Juan de la Encinilla ";90;4,49980967033027
5211;"San Juan de la Nava ";518;6,24997524225948
5212;"San Juan del Molinillo ";227;5,4249500174814
5213;"San Juan del Olmo ";112;4,71849887129509
5214;"San Lorenzo de Tormes ";42;3,73766961828337
5215;"San Martin de la Vega del Alberche ";181;5,19849703126583
5216;"San Martin del Pimpollar ";185;5,22035582507832
5217;"San Miguel de Corneja ";62;4,12713438504509
5218;"San Miguel de Serrezuela ";137;4,91998092582813
5219;"San Pascual ";43;3,76120011569356
5220;"San Pedro del Arroyo ";455;6,12029741895095
5231;"San Vicente de Arevalo ";190;5,24702407216049
5204;"Sanchidrian ";768;6,64378973314767
5205;"Sanchorreja ";91;4,51085950651685
5222;"Santa Cruz de Pinares ";157;5,05624580534831
5221;"Santa Cruz del Valle ";385;5,95324333428778
5226;"Santa Maria de los Caballeros ";79;4,36944785246702
5224;"Santa Maria del Arroyo ";114;4,7361984483945
5225;"Santa Maria del Berrocal ";391;5,96870755998537
5902;"Santa Maria del Cubillo ";337;5,82008293035236
5227;"Santa Maria del Tietar ";526;6,26530121273771
5228;"Santiago del Collado ";183;5,20948615284142
5904;"Santiago del Tormes ";146;4,98360662170834
5229;"Santo Domingo de las Posadas ";78;4,35670882668959
5230;"Santo Tome de Zabarcos ";71;4,26267987704132
5232;"Serrada, La ";110;4,70048036579242
5233;"Serranillos ";262;5,5683445037611
5234;"Sigeres ";53;3,97029191355212
5235;"Sinlabajos ";127;4,84418708645859
5236;"Solana de avila ";138;4,92725368515721
